id,original,translation
247,SUB TOTAL B,小计 B
248,"Generator Set 2000 KVA 230/400V.""Prime Rate W/Sound Proof",发电机组 2000千伏安 230/400V 主用功率 带隔音箱
249,Float level Switch and Wiring Control,浮球液位开关及接线控制
250,Fuel 1000 L.For Test & Refill after Test.,燃油1000升 用于测试及测试后加满
251,SUB TOTAL C,小计 C
252,Accessories For Cable,电缆附件
253,_HDPE PN6 Dia 110 mm.,HDPE管 PN6 直径110毫米
254,"_IMC 4""",IMC镀锌管 4英寸
255,Support & Fitting,支架及配件
256,Duck Bank 2x7 Concrete,混凝土排管 2x7
257,SUB TOTAL D,小计 D
258,EMDB1 W/CAPACITOR BANK,应急配电柜1 含电容柜
259,EMDB2 W/CAPACITOR BANK,应急配电柜2 含电容柜
260,SUB TOTAL E,小计 E
261,AMCC - CH1,主电机控制中心 - 回路1
262,AMCC- CH2&CH3,主电机控制中心 - 回路2和3
263,DB FOR MACHINE,设备配电箱
264,SUB TOTAL F,小计 F
265,SUB TOTAL G,小计 G
266,CABLE_CV 0.6/1 KV.,电力电缆 0.6/1千伏
267,ACCESSORIES FOR CABLE,电缆附件
268,CONDUIT_HDPE PN6,HDPE管 PN6
269,CABLE LADDER,电缆梯架
270,CABLE TRAY,电缆桥架
271,SUPPORT & FITTING,支架及配件
272,SUB TOTAL H,小计 H
273,SUB TOTAL I,小计 I
274,SUB TOTAL J,小计 J
275,EMERGENCY LIGHT,应急灯
276,EXIT SIGN,安全出口标志
277,Junction Box,接线盒
278,SUB TOTAL K,小计 K
279,JUNCTION BOX,接线盒
280,SUB TOTAL L,小计 L
281,AIR TERMINAL_19x600 mm.,避雷针 19x600毫米
282,COPPER TAPE 25x3(T) mm.,铜带 25x3毫米
283,BARE COPPER 70 Sq.mm,裸铜线 70平方毫米
284,CONCRETE INSPECTION PIT,混凝土检查井
285,GROUND ROD 3/4'' x10 ft.,接地极 3/4英寸x10英尺
286,EXOTHERMIC WELLDING,放热焊接
287,SUB TOTAL M,小计 M
288,GROUNDING FOR MDB,主配电柜接地
289,GROUNDING FOR GENERATOR,发电机接地
290,SUB TOTAL N,小计 N
291,FIRE ALARM CONTROL PANEL,火灾报警控制面板
292,GRAPHIC ANN,图形显示板
293,MONITOR MODULE,监视模块
294,CONTROL MODULE,控制模块
295,RELAY MODULE,继电器模块
296,ISOLATE MODULE,隔离模块
297,SMOKE DETECTOR,感烟探测器
298,HEAT DETECTOR,感温探测器
299,CABLE_TWIST PAIR W/SHIELD,屏蔽双绞线电缆
300,TWIST PAIR W/SHIELD 2C-18 AWG,屏蔽双绞线 2芯-18 AWG
301,ห้ามแทรกบันทัด กรณีไม่พอให้ใปใส่ใน หมวด Q,禁止插入行 如空间不足请填入 Q 类
302,"CONDUIT_IMC 1/2""",IMC镀锌管 1/2英寸
303,SUB TOTAL O,小计 O
304,SUB TOTAL P,小计 P
305,SUB TOTAL Q,小计 Q
306,Main Incomming For Data IT Network Telephone,数据IT网络电话主进线
307,Conduit+Man hole+Duct Bank,线管+人孔+排管
308,Main F/O Cable Feeder By Provider,主干光缆由供应商提供
309,Main Terninal F/O (MTF-1),光纤主干终端 (MTF-1)
310,Branch For Data IT Network Telephone,数据IT网络电话分支
311,Conduit+Cable UTP Cat6,线管+UTP Cat6网线
312,Outlet DATA+TELEPHONE,数据+电话插座
313,Quality Control Electrical,电气质量控制
314,Building Automation System (BAS),楼宇自动化系统（BAS）
315,SUB TOTAL R,小计 R
316,SUB TOTAL S,小计 S
317,เลขที่ 95/8 หมู่ 1 ต .คลองหนึ่ง อ .คลองหลวง จ .ปทุมธานี 12120 (สํานักงานใหญ่),编号 95/8 村1 空能县 空銮区 巴吞他尼府 12120（总部）
318,Contractor         บริษัท เฟอร์ คอนสตรัคชั่น จํากัด                                                                                            Date :     20-04-69,承包商 菲尔建筑工程有限公司
319,AIR CONDITION AND VENTILATION SYSTEM,空调及通风系统
320,A/C Main Equipment Work,空调主要设备工程
321,Fan Coil Unit and Air Handling Unit,风机盘管及空气处理机组
322,Ventilation and Exhuast Fan,通风及排风扇
323,Piping Works,管道工程
324,Valve and Control Valve Class 150,阀门及控制阀 Class 150
325,Duct Works,风管工程
326,Electrical Work,电气工程
327,General Expense,一般费用
328,Total F1-F8,合计 F1-F8
329,CH-1                          Water Cooled Chiller centrifugal Type,CH-1 水冷离心式冷水机组
330,Cap.: 650 RT W/Unit Mounted Starter Panel,容量：650冷吨 带机组安装式启动面板
331,Chilled Water Flow Rate: 1552 GPM,冷冻水流量：1552加仑/分钟
332,Chilled Water Temp in / Temp Out : 54/44 oF (12. / 7 oC),冷冻水进/出水温度：54/44°F（12/7°C）
333,Vibration Isolation / Completed with chiller unit,减振装置 / 与冷水机组配套
334,CT-1                          Cooling Tower Square Cross Flow Open Type,CT-1 方形横流开式冷却塔
335,"Condenser Water Flow Rate : 1950 GPM , Fan Motor 7.5x2 kW",冷凝水流量：1950加仑/分钟 风机电机7.5x2千瓦
336,Condenser Water Temp in / Temp Out : 90/100 0F (32.22/37.78 0C),冷凝水进/出水温度：90/100°F（32.22/37.78°C）
337,Steel beam and Vibration Isolation,钢梁及减振
338,Chilled Water and Condenser Water Pump,冷冻水泵及冷凝水泵
339,Horizontal Spilt Case,水平中开式
340,"CHWP-1 CAP : 1552 GPM , 30 mH @45 kW",CHWP-1 容量：1552加仑/分钟 扬程30米 @45千瓦
341,"CDP-1, CAP : 1950 GPM, 25 mH @37 kW",CDP-1 容量：1950加仑/分钟 扬程25米 @37千瓦
342,Inertia Base with Vibration Isolation,惰性基座带减振
343,"Water Softener Complete With control panel, Piping, Valve, Brine tank and All Accessories",软水器 含控制面板、管道、阀门、盐水箱及所有配件
344,"PH & Conductivity Control System Complete with Conductivity Controller,Pump,Solinoid Valv",PH及电导率控制系统 含电导率控制器、泵、电磁阀
345,Auto Drain line and All Accessories,自动排水管路及所有配件
346,Chemical Feeder Tank 200 gal Complete with drain valve and insulation,化学加药箱 200加仑 含排水阀及保温
347,Expansion Tank Cap 1000 Litre w/Insulation accessories,膨胀水箱 容量1000升 含保温配件
348,Reinforce Concrete Base for Chiller/Cooling Tower/Pump/Softener/EXP Tank,冷水机组/冷却塔/水泵/软水器/膨胀水箱钢筋混凝土基础
349,(By Civil Works),（由土建工程负责）
350,ห้ามแทรกบันทัด กรณีไม่พอให้ใปใส่ใน หมวด F9,禁止插入行 如空间不足请填入 F9 类
351,Sub Total F1,小计 F1
352,"2-OAU-01     Horizontal Type , Duct Type, CAP : 374,500 BTUH","2-OAU-01 卧式 风管型 容量 : 374,500 BTUH"
353,"Double Skin , 400 pa EXT SP, complete with pre Filter,Bag Filter,Duct Smoke Detector",双层板 400帕机外静压 含初效过滤器、袋式过滤器、风管感烟探测器
354,Air leaving temperature 13 C,出风温度 13°C
355,"3-OAU-01     Horizontal Type , Duct Type, CAP : 535,200 BTUH","3-OAU-01 卧式 风管型 容量 : 535,200 BTUH"
356,"3-OAU-02     Horizontal Type , Duct Type, CAP : 642,500 BTUH","3-OAU-02 卧式 风管型 容量 : 642,500 BTUH"
357,"Double Skin , 400 pa EXT SP, complete with pre Filter,Bag Filter, Duct Smoke Detector",双层板 400帕机外静压 含初效过滤器、袋式过滤器、风管感烟探测器
358,"2-AC-01       Ceiling Duct Type, CAP : 125,840 BTUH","2-AC-01 吊顶风管型 容量 : 125,840 BTUH"
359,"Single Skin , 150 pa EXT SP , complete with pre Filter,",单层板 150帕机外静压 含初效过滤器
360,"2-AC-02       Ceiling Duct Type, CAP : 157,940 BTUH","2-AC-02 吊顶风管型 容量 : 157,940 BTUH"
361,Unpacked Rm,拆包间
362,"2-AC-03       Ceiling Duct Type, CAP : 157,940 BTUH","2-AC-03 吊顶风管型 容量 : 157,940 BTUH"
363,Preparing Rm,准备间
364,"2-AC-04       Ceiling Duct Type, CAP : 125,840 BTUH","2-AC-04 吊顶风管型 容量 : 125,840 BTUH"
365,Warmed Rm,加热间
366,"2-AC-05       Ceiling Suspended Type, CAP : 51,600 BTUH","2-AC-05 吊顶悬挂型 容量 : 51,600 BTUH"
367,Chilled Rm,冷藏间
368,"2-AC-06       Ceiling Duct Type, CAP : 125,840 BTUH","2-AC-06 吊顶风管型 容量 : 125,840 BTUH"
369,"2-AC-07/1     Ceiling Duct Type, CAP : 157,940 BTUH","2-AC-07/1 吊顶风管型 容量 : 157,940 BTUH"
370,"2-AC-07/2 to 3 Horizontal Type , Duct Type, CAP : 358,190 BTUH","2-AC-07/2至3 卧式 风管型 容量：358,190 BTU/小时"
371,"Single Skin , 250 pa EXT SP , complete with pre Filter, Duct Smoke Detector",单层板 250帕机外静压 含初效过滤器、风管感烟探测器
372,"2-AC-07/4     Horizontal Type , Duct Type, CAP : 404,340 BTUH","2-AC-07/4 卧式 风管型 容量 : 404,340 BTUH"
373,"2-AC-07/5     Horizontal Type , Duct Type, CAP : 254,370 BTUH","2-AC-07/5 卧式 风管型 容量 : 254,370 BTUH"
374,"2-AC-08/1 to 3 Horizontal Type , Duct Type, CAP : 254,370 BTUH","2-AC-08/1至3 卧式 风管型 容量：254,370 BTU/小时"
375,"3-AC-01 to 02  Ceiling Suspended Type, CAP : 51,600 BTUH","3-AC-01 to 02  吊顶悬挂型 容量 : 51,600 BTUH"
376,Electrical Rm,电气间
377,"3-AC-02/1 to 02Ceiling Duct Type, CAP : 157,940 BTUH","3-AC-02/1至02 吊顶风管型 容量：157,940 BTU/小时"
378,Meeting Rm 1,会议室1
379,"3-AC-03       Ceiling Duct Type, CAP : 125,840 BTUH","3-AC-03 吊顶风管型 容量 : 125,840 BTUH"
380,"Single Skin , 150 pa EXT SP , complete with pre Filter",单层板 150帕机外静压 含初效过滤器
381,Meeting Rm 2,会议室2
382,"3-AC-04       Ceiling Duct Type, CAP : 157,940 BTUH","3-AC-04 吊顶风管型 容量 : 157,940 BTUH"
383,QC Office,质检办公室
384,"3-AC-05       Ceiling Suspended Type, CAP : 51,600 BTUH","3-AC-05 吊顶悬挂型 容量 : 51,600 BTUH"
385,"3-AC-06       Ceiling Duct Type, CAP : 125,840 BTUH","3-AC-06 吊顶风管型 容量 : 125,840 BTUH"
386,QC Lab,质检实验室
387,"3-AC-07/1 to 2 Ceiling Duct Type, CAP : 157,940 BTUH","3-AC-07/1至2 吊顶风管型 容量：157,940 BTU/小时"
388,Production rm,生产车间
389,"3-AC-08/1 to 3 Ceiling Duct Type, CAP : 157,940 BTUH","3-AC-08/1至3 吊顶风管型 容量：157,940 BTU/小时"
390,"3-AC-09/1 to 2 Horizontal Type , Duct Type, CAP : 358,190 BTUH","3-AC-09/1至2 卧式 风管型 容量：358,190 BTU/小时"
391,"Steel Hanger, Spring hanger and Supports",钢吊架、弹簧吊架及支架
392,Reinforce Concrete Base for AHU,空气处理机组钢筋混凝土基础
393,Sub Total F2,小计 F2
394,"Propeller Fan wall mounted wih Net,Shutter, Rain Hood",轴流风机 壁挂式 带网罩、百叶、防雨罩
395,"1-EF-05       1000 CMH, 10 pa, 45 Watt     Sump Pit Room",集水坑间
396,"1-EF-06       1000 CMH, 10 pa, 45 Watt     Sump Pit Room",集水坑间
397,"1-EF-07       2000 CMH, 10 pa, 450 Watt    Pump room",水泵房
398,"1-EF-08       5000 CMH, 10 pa, 450 Watt    Chiller rm",冷水机组间
399,"1-EF-09/1 to 16 20000 CMH, 50 pa, 1650 Watt  1st FL (Future)",1-EF-09/1至16 20000立方米/小时 50帕 1650瓦 1层（预留）
400,"2-EF-09/1 to 12 20000 CMH, 50 pa, 1650 Watt  2nc FL (Future)",2-EF-09/1至12 20000立方米/小时 50帕 1650瓦 2层（预留）
401,"3-EF-01/1 to 3 20000 CMH, 50 pa, 1650 Watt  3rd FL (Future)",3-EF-01/1至3 20000立方米/小时 50帕 1650瓦 3层（预留）
402,Steel Frame and Support,钢架及支架
403,Jet fan,射流风机
404,"1-JF-01/1 to 13 13000 CMH, 10 pa, 3000 Watt  1st FL (Future)",1-JF-01/1至13 13000立方米/小时 10帕 3000瓦 1层（预留）
405,"Centrifugal fan , Belt Drive , Forward curve",离心风机 皮带传动 前弯叶片
406,"1-EF-01       1,600 CMH, 1.5 kW           F Toilrt","1-EF-01 1,600 CMH, 1.5 kW           女卫生间"
407,"1-EF-02       1,600 CMH, 1.5 kW           M Toilet","1-EF-02 1,600 CMH, 1.5 kW           男卫生间"
408,"1-EF-03       1,600 CMH, 1.5 kW           M Toilet","1-EF-03 1,600 CMH, 1.5 kW           男卫生间"
409,"1-EF-04       1,600 CMH, 1.5 kW           F Toilet","1-EF-04 1,600 CMH, 1.5 kW           女卫生间"
410,Mini Sirrocco,迷你西罗克风机
411,"3-EF-01       900 CMH, 340 Watt           F Toilet","3-EF-01 900 CMH, 340 Watt           女卫生间"
412,"3-EF-02       900 CMH, 340 Watt           M Toilet","3-EF-02 900 CMH, 340 Watt           男卫生间"
413,"3-EF-03       900 CMH, 340 Watt           M Toilet","3-EF-03 900 CMH, 340 Watt           男卫生间"
414,"3-EF-04       900 CMH, 340 Watt           F Toilet","3-EF-04 900 CMH, 340 Watt           女卫生间"
415,Reinforce Concrete Base for Centrifugal Fan (By Civil Works),（由土建工程负责）
416,Sub Total F3,小计 F3
417,"Chilled Water Pipe, A53 Gr A Black Steel Pipe SCh.40 (ERW Seamed)",冷冻水管 A53 Gr A 黑钢管 Sch.40（ERW焊接）
418,Pipe Fitting and Connectors,管件及连接件
419,"Pipe Hangers, Support and sleeves",吊架、支架及套管
420,Pipe Paintting and Coating,管道油漆及涂层
421,"Condenser Water Pipe, Black Steel Pipe SCh.40 (ERW Seamed)",冷凝水管 黑钢管 Sch.40（ERW焊接）
422,"Make Up Water Pipe, Drain Pipe from Cooling Tower & Make Up Water to Expansion Tanks",补水管道、冷却塔排水管及膨胀水箱补水管
423,Galvanized Steel Pipe Medium Weight Conform to TIS277-2532 or BS 1387,镀锌钢管 中重 符合TIS277-2532或BS 1387
424,Condensate Drain Pipe from AHU/FCU/Cooling Tower,空气处理机组/风机盘管/冷却塔冷凝排水管
425,Closed Cell Foamed Elastomer Insulation,闭泡弹性泡沫保温
426,15 mm g            20 mm THK   A/C Drainage,15 mm g            20 mm THK   A/C Drainage
427,20 mm g            20 mm THK   A/C Drainage,20 mm g            20 mm THK   A/C Drainage
428,25 mm g            20 mm THK   A/C Drainage,25 mm g            20 mm THK   A/C Drainage
429,50 mm g            20 mm THK   A/C Drainage,50 mm g            20 mm THK   A/C Drainage
430,15 mm g            31 mm THK,15 mm g            31 mm THK
431,20 mm g            32 mm THK,20 mm g            32 mm THK
432,25 mm g            33 mm THK,25 mm g            33 mm THK
433,32 mm g            32 mm THK,32 mm g            32 mm THK
434,40 mm g            40 mm THK,40 mm g            40 mm THK
435,50 mm g            40 mm THK,50 mm g            40 mm THK
436,65 mm g            50 mm THK,65 mm g            50 mm THK
437,80 mm g            51 mm THK,80 mm g            51 mm THK
438,150 mm g          50 mm THK,150 mm g          50 mm THK
439,200 mm g          50 mm THK,200 mm g          50 mm THK
440,250 mm g          50 mm THK,250 mm g          50 mm THK
441,400 mm g          50 mm THK,400 mm g          50 mm THK
442,500 mm g          50 mm THK,500 mm g          50 mm THK
443,Adhesive and all accessories,胶粘剂及所有配件
444,Sub Total F4,小计 F4
445,Butterfly Valve Lugged Type W/Lever Operator,对夹式蝶阀 带手柄操作
446,250 mm g W/Gear operator,250毫米 带齿轮操作器
447,Pressure relief valve at bypass,旁通泄压阀
448,Double Check Valve,双止回阀
449,20 mm g            Rubber,20 mm g            Rubber
450,40 mm g            Rubber,40 mm g            Rubber
451,50 mm g            Rubber,50 mm g            Rubber
452,65 mm g            Rubber,65 mm g            Rubber
453,80 mm g            Rubber,80 mm g            Rubber
454,200 mm g          Rubber,200 mm g          Rubber
455,250 mm g          Rubber,250 mm g          Rubber
456,450 mm g          SUS 30 CM Length,450 mm g          SUS 30 CM Length
457,2-Way control valve (ON-OFF),两通控制阀（开关型）
458,2-Way control valve (Proportional),两通控制阀（比例型）
459,Electronic Flow Swith and wiring,电子流量开关及接线
460,Thermo Guage and Well,温度计及套管
461,"Pressure Guage size 4"" DIA with needle valve","Pressure Guage size 4"" DIA with needle valve"
462,"Flange, Bolt,Nut and gasket",法兰、螺栓、螺母及垫片
463,LCD Room T' STAT,LCD房间温控器
464,Sub Total F5,小计 F5
465,A/C Galvanized Steel Sheet Guage,空调镀锌钢板 规格号
466,Guage #26,规格号 #26
467,Guage #24,规格号 #24
468,Guage #22,规格号 #22
469,"Round duct dia, 800 mm",圆形风管直径800毫米
470,"Round duct dia, 1000 mm",圆形风管直径1000毫米
471,Duct support and Hanger,风管支撑及吊架
472,V/T Galvanized Steel Sheet Guage,垂直/水平镀锌钢板规格号
473,Fabric Duct W/accesories,布质风管含配件
474,Canvas Joint,帆布接头
475,"Duct Insulation : Fiberglass 50 mmTHK , 24 kg/m3","Duct Insulation : Fiberglass 50 mmTHK , 24 kg/m3"
476,"Diffuser,Griile and Register",散流器、格栅及风口
477,Exhuast Air Grille w/VD (EAG),排风格栅带风量调节阀
478,Ceiling Diffuser,天花板散流器
479,Dew Point Temperature Sensor for OAU,室外空气处理机组露点温度传感器
480,"accuracy ±0.3C, Probe length 300 mm","accuracy ±0.3C, Probe length 300 mm"
481,Sub Total F6,小计 F6
482,"Electrical Control Panel Board, Starter, Control Equipment Complete Wiring, Conduit",电气控制面板、启动器、控制设备 含完整接线及线管
483,"Type of starter (VSD,DOL,Y-D) follow Load Schedule and all accessories.",启动器类型（变频、直启、星三角）按负载表 含所有配件
484,Starter Panel / Control Panel,启动器面板/控制面板
485,1-ST-01       (Hanging Type) For 1-EF-05   Sump pump room,1-ST-01 (Hanging Type) 用于1-EF-05 集水坑间
486,1-ST-02       (Hanging Type) For 1-EF-01   Male toilet,男卫生间
487,1-ST-03       (Hanging Type) For 1-EF-02   Female toilet,女卫生间
488,1-ST-04       (Hanging Type) For 1-EF-03   Male toilet,男卫生间
489,1-ST-05       (Hanging Type) For 1-EF-04   Female toilet,女卫生间
490,1-ST-06       (Hanging Type) For 1-EF-06   Sump pump room,1-ST-06 (Hanging Type) 用于1-EF-06 集水坑间
491,1-ST-07       (Hanging Type) For 1-EF-08   Chiller plant,1-ST-07 (Hanging Type) 用于1-EF-08 冷水机房
492,1-ST-18       (Hanging Type) For 1-EF-07   Pump room,水泵房
493,1-ST-19       (Hanging Type) For 1-EF-18   Room near cooling tower,1-ST-19 (Hanging Type) 用于1-EF-18 冷却塔附近房间
494,2-ST-01       (Hanging Type) For 2-AC-01   W/Thermostat,2-ST-01 (Hanging Type) For 2-AC-01   W/Thermostat
495,2-ST-02       (Hanging Type) For 2-AC-02   W/Thermostat,2-ST-02 (Hanging Type) For 2-AC-02   W/Thermostat
496,2-ST-03       (Hanging Type) For 2-AC-03   W/Thermostat,2-ST-03 (Hanging Type) For 2-AC-03   W/Thermostat
497,2-ST-04       (Hanging Type) For 2-AC-04   W/Thermostat,2-ST-04 (Hanging Type) For 2-AC-04   W/Thermostat
498,2-ST-05       (Hanging Type) For 2-AC-05   W/Thermostat,2-ST-05 (Hanging Type) For 2-AC-05   W/Thermostat
499,2-ST-06       (Hanging Type) For 2-AC-06   W/Thermostat,2-ST-06 (Hanging Type) For 2-AC-06   W/Thermostat
500,2-ST-07/1     (Hanging Type) For 2-AC-07/1 W/Thermostat,2-ST-07/1 (Hanging Type) For 2-AC-07/1 W/Thermostat
501,2-ST-07/2     (Hanging Type) For 2-AC-07/2 W/Thermostat and duct smoke detector,2-ST-07/2 (Hanging Type) For 2-AC-07/2 W/Thermostat and duct smoke detector
502,2-ST-07/3     (Hanging Type) For 2-AC-07/3 W/Thermostat and duct smoke detector,2-ST-07/3 (Hanging Type) For 2-AC-07/3 W/Thermostat and duct smoke detector
503,2-ST-07/4     (Hanging Type) For 2-AC-07/4 W/Thermostat and duct smoke detector,2-ST-07/4 (Hanging Type) For 2-AC-07/4 W/Thermostat and duct smoke detector
504,2-ST-07/5     (Hanging Type) For 2-AC-07/5 W/Thermostat and duct smoke detector,2-ST-07/5 (Hanging Type) For 2-AC-07/5 W/Thermostat and duct smoke detector
505,2-ST-08/1     (Hanging Type) For 2-AC-08/1 W/Thermostat and duct smoke detector,2-ST-08/1 (Hanging Type) For 2-AC-08/1 W/Thermostat and duct smoke detector
506,2-ST-08/2     (Hanging Type) For 2-AC-08/2 W/Thermostat and duct smoke detector,2-ST-08/2 (Hanging Type) For 2-AC-08/2 W/Thermostat and duct smoke detector
507,2-ST-08/3     (Hanging Type) For 2-AC-08/3 W/Thermostat and duct smoke detector,2-ST-08/3 (Hanging Type) For 2-AC-08/3 W/Thermostat and duct smoke detector
508,2-ST-001      (Hanging Type) For 2-OAU-01 W/Thermostat and duct smoke detector,2-ST-001 (Hanging Type) For 2-OAU-01 W/Thermostat and duct smoke detector
509,3-ST-01       (Hanging Type) For 3-AC-01/1 t W/Thermostat,3-ST-01 (Hanging Type) 用于3-AC-01/1 带温控器
510,3-ST-02       (Hanging Type) For 3-AC-02/1 t W/Thermostat,3-ST-02 (Hanging Type) 用于3-AC-02/1 带温控器
511,3-ST-03       (Hanging Type) For 3-AC-03   W/Thermostat,3-ST-03 (Hanging Type) For 3-AC-03   W/Thermostat
512,3-ST-04       (Hanging Type) For 3-AC-04   W/Thermostat,3-ST-04 (Hanging Type) For 3-AC-04   W/Thermostat
513,3-ST-05       (Hanging Type) For 3-AC-05   W/Thermostat,3-ST-05 (Hanging Type) For 3-AC-05   W/Thermostat
514,3-ST-06       (Hanging Type) For 3-AC-06   W/Thermostat,3-ST-06 (Hanging Type) For 3-AC-06   W/Thermostat
515,3-ST-07       (Hanging Type) For 3-AC-07/1 t W/Thermostat,3-ST-07 (Hanging Type) 用于3-AC-07/1 带温控器
516,3-ST-08       (Hanging Type) For 3-AC-08/1 t W/Thermostat,3-ST-08 (Hanging Type) 用于3-AC-08/1 带温控器
517,3-ST-09       (Hanging Type) For 3-AC-09/1 t W/Thermostat and duct smoke detector,3-ST-09 (Hanging Type) 用于3-AC-09/1 带温控器及风管感烟探测器r
518,3-ST-001      (Hanging Type) For 3-OAU-01 W/Thermostat and duct smoke detector,3-ST-001 (Hanging Type) For 3-OAU-01 W/Thermostat and duct smoke detector
519,3-ST-002      (Hanging Type) For 3-OAU-02 W/Thermostat and duct smoke detector,3-ST-002 (Hanging Type) For 3-OAU-02 W/Thermostat and duct smoke detector
520,Reinforce Concrete Base for Floor Mounting Panel (By Civil Works),落地安装面板钢筋混凝土基础（由土建工程负责）
521,Variable Speed Drive IP 54,变频器 IP54
522,37 kW         for Condenser Water Pump,37 kW         for Condenser Water Pump
523,45 kW         for Chilled Water Pump,45 kW         for Chilled Water Pump
524,XLPE (0.1/6KV) 1C,XLPE (0.1/6千伏) 单芯
525,Cable Tray W/Cover,带盖电缆桥架
526,IMC Conduit,IMC镀锌管
527,Flexible Connector (W/P),柔性连接器（防水型）
528,Control cable from remote starter to chiller control panel,从远程启动器到冷水机组控制面板的控制电缆
529,Sub Total F7,小计 F7
530,Site Expense,现场费用
531,Test & Commisssioning,测试及调试
532,Sub Total F8,小计 F8
533,Water Supply and Drainage System,给排水系统
534,Main Equipment Work,主要设备工程
535,Rain Drainage Works,雨水排水工程
536,Total G1-G5,合计 G1-G5
537,1-PWP-01     Packaged Booster Pump (For Toilet),1-PWP-01 Packaged Booster Pump (For Toilet)
538,"Cap.: 2x270 LPM @40 mH, 1000 L tank",容量：2x270升/分钟 @40米扬程 1000升水箱
539,W/Control Panel & Electrode,带控制面板及电极
540,1-PWP-02     Packaged Booster Pump (For Softener),1-PWP-02 Packaged Booster Pump (For Softener)
541,"Cap.: 2x220 LPM @45 mH, 1000 L tank",容量：2x220升/分钟 @45米扬程 1000升水箱
542,1-SP-01       Submersible Pump,1-SP-01 Submersible Pump
543,"Cap.: 2x180 LPM @6 mH w/control panel,Floating switch,guide rail",容量：2x180升/分钟 @6米扬程 带控制面板、浮球开关、导杆
544,1-SP-02       Submersible Pump,1-SP-02 Submersible Pump
545,1-SP-03       Submersible Pump,1-SP-03 Submersible Pump
546,"Cap.: 2x180 LPM @10 mH w/Control panel,Floating switch,guide rail",容量：2x180升/分钟 @10米扬程 带控制面板、浮球开关、导杆
547,E-ST-01       Septic Tank W/Air Compressor,E-ST-01 Septic Tank W/Air Compressor
548,Cap.: 30 m3/day,容量：30立方米/天
549,E-ST-02       Septic Tank W/Air Compressor,E-ST-02 Septic Tank W/Air Compressor
550,Cap.: 20 m3/day,容量：20立方米/天
551,E-ST-03       Septic Tank W/Air Compressor,E-ST-03 Septic Tank W/Air Compressor
552,E-DP-01      Drainage Pump,E-DP-01 Drainage Pump
553,"Cap.: 200 LPM @ mH w/Control panel,Floating switch,guide rail",容量：200升/分钟 @米扬程 带控制面板、浮球开关、导杆
554,E-DP-02      Drainage Pump,E-DP-02 Drainage Pump
555,Piling & Concrete Base for Septic Tanks ( By Civil Works),化粪池桩基及混凝土基础（由土建工程负责）
556,Concrete Pit for Drainage&Sewage pump (By Civil Works),（由土建工程负责）
557,Grease trap for Drainage&Sewage pump (By Civil Works),（由土建工程负责）
558,ห้ามแทรกบันทัด กรณีไม่พอให้ใปใส่ใน หมวด G6,禁止插入行 如空间不足请填入 G6 类
559,Sub Total G1,小计 G1
560,Water Supply Piping GSP (BS-M),给水管道 镀锌钢管（BS-M）
561,"Pipe Hangers, Support",吊架、支架
562,Water Supply Piping PE PN6,给水管道 PE PN6
563,Drainage Piping PE PN6,排水管道 PE PN6
564,65 mm g              Soil,65 mm g              Soil
565,80 mm g              Soil,80 mm g              Soil
566,50 mm g              Process,50 mm g              Process
567,65 mm g              Process,65 mm g              Process
568,Excavation & Backfill,开挖及回填
569,Waste Piping PVC Class 8.5,废水管 PVC Class 8.5
570,100 mm g          Process,100 mm g          Process
571,Soil Piping PVC Class 8.5,污水管 PVC Class 8.5
572,Vent Piping PVC Class 8.5,透气管 PVC Class 8.5
573,Flexible Connector (Rubber)-Drainage,柔性连接器
574,Sleeve Works for Drainage Works,排水工程套管
575,Sub Total G2,小计 G2
576,250 mm g          (inspection pit),250 mm g          (inspection pit)
577,Floating Modulating Valve,浮球调节阀
578,Water hammer arrester,水锤消除器
579,Floor Drain (Water Proof),地漏（防水型）
580,Vent Cap,通气帽
581,Water meter,水表
582,Tube sight glass (water level),管式视镜（水位）
583,Sub Total G3,小计 G3
584,Rain Drainage Piping PVC Class 18.5,雨水排水管 PVC Class 18.5
585,Sub Total G4,小计 G4
586,Sub Total G5,小计 G5
587,Contractor         บริษัท เฟอร์ คอนสตรัคชั่น จํากัด                                                                                         Date :    20-04-69,承包商 菲尔建筑工程有限公司
588,Fire Protection System,消防系统
589,Equipment works,设备工程
590,Total H1-H5,合计 H1-H5
591,FP-01 Horizontal Spilt case Diesel Engine Driven Fire Pump,FP-01 水平中开式柴油机驱动消防泵
592,Capacity 1250 GPM@ 100 mH,容量1250加仑/分钟@100米扬程
593,Fuel Tank 600 Litre,燃油箱 600升
594,Fire Pump Control Panel,消防泵控制面板
595,Fitting for fire pump,消防泵配件
596,Main relief valve size (Angle type) 150 mm Ø,主泄压阀（角式）150毫米
597,Overflow cone size 150x200 mm Ø,溢流锥管 150x200毫米
598,Main relief valve size (Angle type) 50 mm Ø,主泄压阀（角式）50毫米
599,Flow Meter (Venturi Type) 150 mm Ø,流量计（文丘里型）150毫米
600,Discharge and Suction Pressure Guage,出水及吸水压力表
601,JP-01 Vertical Multistage in-line Jockey Pump,JP-01 立式多级管道式稳压泵
602,Capacity 25 GPM@ 105 mH,容量25加仑/分钟@105米扬程
603,Electrical Motor 7.5 HP 2900 RPM,电机 7.5马力 2900转/分
604,Jockey Pump Control Panel,稳压泵控制面板
605,Sub Total H2,小计 H2
